Date,DFEN,DIA,EEM,EFA,EWG,EWH,EWJ,EWZ,EZU,FAS,FAZ,FXI,GDX,GDXJ,IEFA,IEMG,IJR,ITB,IVV,IWM,KRE,PSQ,QID,SDOW,SDS,SH,SPXL,SPXS,SPXU,SPY,SRTY,TECS,TNA,TZA,UPRO,USMV,VEA,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XOP,XRT
2018-03-26,185100,6589700,73320800,31279000,6474000,4971500,10750700,11296500,13131300,2746000,703800,37099800,44428800,8823800,6964400,9419100,3527800,1394500,6544700,28442400,7382800,3851000,2088600,2296900,9596300,8438600,9041700,8240800,5650100,141956100,470300,29100,3729400,2285100,8427600,2515000,13566600,19587400,5842100,15953000,84145000,12197000,25125800,12374700,13759600,9183500,3874200,6268300
2018-03-27,172400,6513100,84232100,36493900,5264100,6406800,19872000,15803800,12213900,2369400,931300,29273500,50314200,19627500,9916000,11514300,3165900,2173700,5711000,32820600,5775200,3705600,2795300,2276100,9348400,8557600,7820200,8470500,6080100,129941400,607600,42300,4346500,2365800,11529900,2815000,12650100,15427400,7291000,13923100,78827400,14726000,29748600,17326800,21456000,10948400,2763700,6082700
2018-03-28,124800,7983700,78140800,35737600,5522400,7196400,14198800,11300600,11631600,2010700,825300,27992100,57399700,16653300,10435200,11167000,4947000,2008500,5095300,26510900,6004200,4113000,4038500,1732200,9912100,9258500,9961400,8373000,7093300,146452300,585100,66100,3125100,2627300,9954300,2857500,13320700,15551800,11844200,18228700,84244500,21892300,26811000,32397500,23173100,10146800,3777600,8235500
2018-03-29,100000,6614500,82685500,34745000,3343100,3125800,13085600,17058900,5182500,1831400,467600,24670000,36064900,9494300,21315700,17221000,2769500,1389500,5552000,22617700,4792300,2762100,2031300,1319800,7136300,5790200,7663100,6931700,3528600,111601600,259300,40800,3606600,1780900,9042000,3388400,8230000,12121900,6210700,13968100,58290000,14051800,17684100,13272800,15464500,6914900,3651600,4016800
2018-04-02,151400,9217400,72405700,52362500,5626000,5164500,10854200,12715400,9267300,2837300,1134600,30455100,38852500,11584900,9017500,13803300,3610000,3448400,6102600,35040700,6610400,5033000,3012400,2451900,13090800,9823600,12107000,9652200,6449000,186286300,569000,74700,4961700,2781500,10707300,3450300,15016300,22033000,9329400,18993100,74363900,27498800,26017100,28604800,17792600,11364900,5356400,4972600
2018-04-03,88600,9874500,52874500,30413600,5348700,5963800,9157500,11629900,4884300,2259100,549700,25914100,32183100,9638800,14387000,18556300,4636000,1628600,6600400,29857800,5024700,2636200,2478500,1622100,8631900,6815900,9172500,7027300,4267200,119956900,400000,56300,3840000,1880900,6438300,2120700,12164900,15576500,6786400,14114300,75160400,20149100,18050700,24860600,13798800,8590700,3303300,6379200
2018-04-04,103300,6437500,68352400,26041500,2541800,4859900,9602200,15915400,10299300,2536500,766300,29038000,21864000,9084600,14029000,10273000,3353200,5253100,3770100,29619700,9500600,2956400,2211500,1663200,7690200,8663100,10015100,6418800,5268700,123715300,419700,27100,5028400,2303900,10872900,2437300,20156300,17380200,6436700,12490800,70327000,19987600,18149200,28012500,16357300,9085800,3201800,4707100
2018-04-05,143600,4786400,48247700,22625800,2056600,2935300,8220500,21463700,9842600,2054900,500300,18442200,21917200,4460100,5757200,9347100,3874300,4403700,3066000,17301600,4658900,2131000,1466000,1323500,4092200,4903400,6809900,5539000,2586300,82652600,143600,16600,2986700,1274000,8162400,1363100,6644000,11815800,7694300,13528400,45378300,16496100,16369100,18235800,14286300,8031300,5776700,3084800
2018-04-06,175500,6985500,76156700,24999600,4201600,5936300,10464500,24031900,10069100,2874200,851000,32534000,28824100,8375000,8505600,14237100,3738800,2949500,5700200,25762700,9145300,4075300,1949500,2270400,8853700,6733900,10687400,7531000,5149600,179521200,459400,24100,4331900,2461400,13354200,1953800,12728900,17487900,7911400,18883900,88521000,18353400,20238900,13113400,14312000,12171800,4892200,4329200
2018-04-09,122200,5052000,55352700,18498700,2807900,3388100,6450800,18223300,4351200,2223500,529000,27123200,26503600,7818900,4739300,10452800,1926700,1308300,3360400,18997000,7024700,1770700,1481100,1057000,5649100,6105700,6741700,5048000,3371700,105442900,264700,20100,2796300,1504000,7136700,936700,8316300,12813900,6289200,10819800,54633200,10279200,10929700,14686700,11756100,6952600,4196800,3905900
